time,field_name,field_value
1688832138291,pressure,1021.4
1688832438321,pressure,1021.3
1688832738354,pressure,1021.3
1688833038387,pressure,1021.2
1688833338424,pressure,1021.1
1688833638463,pressure,1021.2
1688833998512,pressure,1021.2
1688834298546,pressure,1021.2
1688834598581,pressure,1021.1
1688834898619,pressure,1021.2
1688835258661,pressure,1021.1
1688835558696,pressure,1021.1
1688835858727,pressure,1021.1
1688836158761,pressure,1021.1
1688836518801,pressure,1021.1
1688836818832,pressure,1021.1
1688837505836,pressure,1020.8
1688837805870,pressure,1020.9
1688838105912,pressure,1020.9
1688838405950,pressure,1020.8
1688838705989,pressure,1020.8
1688839006021,pressure,1020.8
1688839306063,pressure,1020.7
1688839606096,pressure,1020.7
1688839906129,pressure,1020.8
1688840206164,pressure,1020.8
1688840506198,pressure,1020.8
1688840806233,pressure,1020.9
1688841106271,pressure,1020.9
1688841406309,pressure,1020.9
1688841706342,pressure,1020.9
1688842006380,pressure,1020.8
1688842306411,pressure,1020.9
1688842606452,pressure,1021.0
1688842906485,pressure,1020.9
1688843206523,pressure,1020.9
1688843506556,pressure,1020.9
1688843806588,pressure,1021.0
1688844106622,pressure,1021.0
1688844406654,pressure,1021.0
1688844706692,pressure,1021.0
1688845006726,pressure,1021.0
1688845306758,pressure,1021.0
1688845606792,pressure,1021.0
1688845906830,pressure,1021.0
1688846365009,pressure,1021.1
1688846665051,pressure,1021.1
1688846965084,pressure,1021.3
1688847265115,pressure,1021.2
1688847565147,pressure,1021.2
1688847865184,pressure,1021.2
1688848165223,pressure,1021.2
1688848465257,pressure,1021.2
1688848765314,pressure,1021.2
1688849065350,pressure,1021.2
1688849365381,pressure,1021.3
1688849665427,pressure,1021.3
1688850025470,pressure,1021.3
1688850325510,pressure,1021.4
1688850625540,pressure,1021.3
1688850925575,pressure,1021.3
1688851285619,pressure,1021.3
1688851585651,pressure,1021.4
1688851885686,pressure,1021.5
1688852185724,pressure,1021.5
1688852485769,pressure,1021.5
1688852785803,pressure,1021.5
1688853085836,pressure,1021.5
1688853385876,pressure,1021.6
1688853685915,pressure,1021.5
1688853985952,pressure,1021.6
1688854285986,pressure,1021.7
1688854586026,pressure,1021.6
1688854886060,pressure,1021.6
1688855186092,pressure,1021.6
1688855486127,pressure,1021.6
1688855786158,pressure,1021.5
1688856086189,pressure,1021.5
1688856386224,pressure,1021.4
1688856686254,pressure,1021.5
1688856986296,pressure,1021.5
1688857286328,pressure,1021.5
1688857586364,pressure,1021.5
1688857886396,pressure,1021.5
1688858186428,pressure,1021.5
1688858486460,pressure,1021.6
1688858786492,pressure,1021.6
1688859086522,pressure,1021.5
1688859386556,pressure,1021.5
1688859686588,pressure,1021.5
1688859986621,pressure,1021.5
1688860286654,pressure,1021.5
1688860586695,pressure,1021.7
1688860886738,pressure,1021.7
1688861186777,pressure,1021.6
1688861486807,pressure,1021.7
1688861786839,pressure,1021.8
1688862086886,pressure,1021.8
1688862386941,pressure,1021.7
1688862686973,pressure,1021.7
1688862987005,pressure,1021.7
1688863287044,pressure,1021.8
1688863587082,pressure,1021.8
1688863887115,pressure,1021.8
1688864187150,pressure,1021.9
1688864487181,pressure,1021.9
1688864787219,pressure,1021.8
1688865087269,pressure,1021.8
1688865387300,pressure,1021.6
1688865687349,pressure,1021.6
1688865987384,pressure,1021.7
1688866287420,pressure,1021.6
1688866587454,pressure,1021.6
1688866887490,pressure,1021.7
1688867187521,pressure,1021.7
1688867487553,pressure,1021.7
